text,date,rating
"Очень быстро отработали вопрос о переводе денежных средств при возникновении блокировки ( можно через СМС, а можно через звонок по горячей линии) выбрал второй вариант. Ожидание на линии составило не более 2 минут, что крайне важно. Оператор в...",21.09.2025 07:17,5
"Добрый вечер. У меня несколько карт Газпромбанка, решил узнать работают ли они за пределами РФ. Написал в соц.сетях 19.09 в 20:25 :   Доступны ли операции по карте виза за рубежом? Ответ- недоступны любые операции за рубежом  Юнионпэй тоже...",19.09.2025 18:43,5
"Наконец-то я являюсь клиентом Газпромбанка. Дорого смотрела и думала, стоит ли получать карту или нет. Не погадала, Ксения приехала ко мне на встречу вовремя, по заранее согласованному времени, договорились на 15:00, 19 сентября 2025. Встреча...",19.09.2025 14:39,5
"Заказал дебетовую карту Газпромбанка с доставкой. Представитель заранее позвонила, согласовали время встречи. Приехала в назначенное время, грамотно и доходчиво объяснила, показала как пользоваться приложением, какие выгоды дает заказанная мною...",19.09.2025 12:50,5
"Открыл накопительный счёт, пополнил его. Затем через несколько дней хотел пополнить ещё раз, деньги ушли с карты, но на счёте их нет, то есть как будто пропали, я говорю что мне срочно нужны эти деньги, в ответ на что операторыы говорят ждите 10-15...",19.09.2025 11:03,1
"Здравствуйте, сегодня состоялась моя встреча по получению дебетовой карты, Газпромбанк. Со мной заранее связалась, Ксения В., договорились на 11:00. Ксения В., приехала вовремя, объяснила всё по документам, рассказала про акцию 20% на продукты. Так...",19.09.2025 10:32,5
"Консьерж сервис газпромбанка - самый медленный, ломающийся, обманывающии сервис из тех, какими я пользовалась. Ни одна доставка не была организована без проблем и нареканийи. ни одна! Последняя так прошла: захожу на Яго , ввожу параметры доставки -...",18.09.2025 21:20,1
16.09.2025 в 23.30 по проведении денежного перевода с моей карты Газпромбанка по СБП на свой счёт в другом банке были заблокированы все мои счета и вход в мобильное приложение по причине проведения операции по указанию мошенников. Я проводила...,18.09.2025 20:17,1
"Мне начали поступать СМС о том, что я якобы вхожу в приложение Газпромбанка. При этом я такие сообщения не запрашивал, в приложение банка не заходил. Обратился в чат, оператор Нина задала несколько вопросом о воздействии на меня третьих лиц и...",18.09.2025 17:52,5
"Уточнил в чате 03.03.2025 наличие способа увеличить лимит по кредитной карте. Бот ответил, что банк самостоятельно принимает решение об увеличении лимита. Заявления на увеличение кредитного лимита не принимаются. Дополнительно сообщил условия...",18.09.2025 17:39,5
"Добрый день! 26 июля 2025 года подключил опцию Газпром-бонус, сроком до 25 августа 2025 года (скрин прилагаю), чтобы подкопить определенное количество кэшбэка. 25 августа 2025 года совершил крайнюю покупку, в надежде получить недостающую сумму...",18.09.2025 17:37,1
"Обратился в чат 28.02.2025 утром в 10:46 с просьбой пояснить, действительно ли если я пополню накопительный счет 28.02.2025 (указал номер договора, нулевой остаток длительный период времени), то 2 следующих месяца будет действовать ставка 24% на...",18.09.2025 17:30,1
"Добрый день. Сегодня ждала свою карту дебетовую от Газпромбанка. Привезла нам ее девушка , приятная в общении , очень подкованная , сразу рассказала , что зачем и как нам нужно сделать , чтобы выгоднее использовать карту и ее преимущества. Зовут...",18.09.2025 16:01,5
